numflag;category;description
470;V;Particulate mass concentration higher than parallell mass concentration measurement with higher cut off i.e PM1_mass > PM25_mass and PM25_mass > PM10_mass
460;I;Contamination suspected
459;I;Extreme value, unspecified error
458;V;Extremely high value, outside four times standard deviation in a lognormal distribution
457;V;Extremely low value, outside four times standard deviation in a lognormal distribution
456;I;Invalidated by data originator
452;I;Invalid due to large uncertainty
451;I;Invalid due to large sea salt contribution
450;V;Considerable sea salt contribution, but considered valid
440;V;Reconstructed or recalculated data
420;V;Preliminary data
410;V;Sahara dust event
395;I;Data completeness less than 90%
394;V;Data completeness less than 90%
393;I;Data completeness less than 75%
392;V;Data completeness less than 75%
391;I;Data completeness less than 50%
390;V;ata completeness less than 50%
389;I;Data completeness less than 66%
388;V;Data completeness less than 66%
382;V;More than 75% of the measurements are below detection limit
380;V;More than 50% of the measurements are below detection limit
370;V;For monthly averages with samples partly in two months, the number of days in each month is used for weighing the sample
299;V;Inconsistent with another unspecified measurement
298;V;Gold trap inconsistency in mercury monitor
278;I;Invalid due to inconsistency discovered through ion balance calculations
277;I;Invalid due to inconsistency between measured and estimated conductivity
276;V;Inconsistency discovered through ion balance calculations, but considered valid
275;V;Inconsistency between measured and estimated conductivity, but considered valid
260;I;Contamination suspected
259;I;Unspecified error expected
258;V;Extremely high value, outside four times standard deviation in a log-normal distribution
257;V;Extremely low value, outside four times standard deviation in a log-normal distribution
256;I;Invalidated by database co-ordinator
251;I;Invalid due to large sea salt contribution
250;V;Considerable sea salt contribution, but considered valid
249;V;Apparent typing error corrected. Valid measurement
248;V;Illegal flag was removed by the database co-ordinator. Lost flag information (used for historic data only).
247;V;Overlapping sample interval was corrected by the database co-ordinator. Possible wrong sample time (used for historic data only)
220;V;Preliminary data
211;V;Irregular data checked and accepted by database co-ordinator. Valid measurement
210;V;Episode data checked and accepted by database co-ordinator. Valid measurement
191;V;Data not truncation corrected - Valid measurement
190;V;Not corrected for cross-sensitivity to particle scattering
189;V;Possible local contamination indicated by wind from contaminated sector (auto)
188;V;Possible local contamination indicated by low wind speed (auto)
187;V;Possible local contamination indicated by occurence of new particles (auto)
186;V;Possible local contamination indicated by single scattering albedo (auto)
185;V;Possible local contamination indicated by wind direction or velocity
147;V;Below theoretical detection limit or formal Q/A limit, but a value has been measured and reported and is considered valid
120;V;Sample reanalysed with similar results. Valid measurement
111;V;Irregular data checked and accepted by data originator. Valid measurement
110;V;Episode data checked and accepted by data originator. Valid measurement
103;V;CV of replicate ALPHA samplers > 15 %. Valid measurement
102;V;CV of replicate diffusion tubes > 30 %. Valid measurement
101;V;Denuder capture efficiency < 75%. Valid measurement
100;V;Checked by data originator. Valid measurement, overrides any invalid flags
000;V;Valid measurement
